                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2224,                 1.6372,                 1.3815,                0.28594,                0.70546,                0.37099,                0.25372,                 1.0617,                 1.5889,                 1.3251,             0.00084781,             0.00084781,             0.00084781
                     36,                 1.2483,                  1.592,                 1.3526,                0.30504,                0.68587,                0.37704,                0.25999,                  1.105,                 1.5729,                 1.3348,             0.00084601,             0.00084601,             0.00084601
                     37,                 1.1857,                 1.6335,                 1.3589,                0.31921,                0.68092,                 0.3967,                0.27374,                 1.0421,                 1.5034,                 1.3036,             0.00084421,             0.00084421,             0.00084421
                     38,                 1.2128,                 1.6223,                 1.3269,                 0.3245,                0.64997,                0.37896,                0.26433,                 1.0692,                 1.4494,                 1.2852,             0.00084241,             0.00084241,             0.00084241
                     39,                 1.1865,                 1.5961,                 1.3312,                0.33479,                0.64428,                0.39088,                0.27162,                 1.0552,                 1.4748,                 1.2644,             0.00084061,             0.00084061,             0.00084061
                     40,                 1.2345,                 1.6014,                 1.3157,                0.30458,                0.68483,                0.37525,                  0.268,                 1.0808,                 1.6755,                 1.2703,             0.00083881,             0.00083881,             0.00083881
                     41,                 1.1881,                 1.5648,                 1.2984,                0.24599,                0.74493,                0.37183,                0.25264,                  1.106,                 1.7298,                 1.2729,             0.00083701,             0.00083701,             0.00083701
                     42,                 1.1738,                 1.6337,                 1.3156,                0.34419,                0.74292,                0.43062,                0.30152,                 1.0251,                 1.5492,                 1.2505,             0.00083521,             0.00083521,             0.00083521
                     43,                 1.1298,                 1.5786,                 1.2864,                0.34637,                0.70377,                 0.4378,                0.31463,                0.98033,                 1.4451,                 1.2334,             0.00083341,             0.00083341,             0.00083341
                     44,                   1.11,                 1.5817,                 1.2644,                0.34703,                0.68193,                0.44422,                0.30797,                0.98813,                 1.4985,                 1.2604,             0.00083161,             0.00083161,             0.00083161
                     45,                 1.1385,                 1.5553,                 1.2753,                0.36966,                0.65472,                0.43953,                0.31066,                 0.9603,                 1.4127,                 1.2401,             0.00082981,             0.00082981,             0.00082981
                     46,                 1.1282,                 1.5584,                 1.2567,                0.33539,                0.66203,                0.42672,                0.30717,                0.97191,                 1.4199,                  1.212,             0.00082801,             0.00082801,             0.00082801
                     47,                 1.0972,                 1.5088,                 1.2449,                 0.3595,                0.65504,                0.43943,                 0.3157,                0.93883,                   1.42,                 1.2019,             0.00082621,             0.00082621,             0.00082621
                     48,                 1.1014,                 1.5189,                 1.2539,                0.36512,                0.65792,                0.49592,                0.34863,                 1.0023,                 1.4634,                 1.2139,             0.00082441,             0.00082441,             0.00082441
                     49,                 1.0814,                 1.4885,                 1.2747,                0.29376,                0.64011,                0.38886,                0.29276,                0.95477,                 1.4902,                 1.2307,             0.00082261,             0.00082261,             0.00082261
                     50,                 1.0762,                   1.51,                 1.2439,                0.38109,                0.67815,                0.46922,                0.35424,                0.93519,                  1.504,                 1.2159,             0.00082081,             0.00082081,             0.00082081
                     51,                 1.0856,                 1.4661,                 1.2342,                 0.4321,                0.65803,                0.54256,                0.39301,                0.94076,                 1.3814,                 1.2095,             0.00081901,             0.00081901,             0.00081901
                     52,                 1.0369,                 1.4837,                 1.2089,                0.38506,                0.69967,                0.50325,                0.36323,                 0.9279,                 1.3772,                 1.1871,             0.00081721,             0.00081721,             0.00081721
                     53,                 1.0582,                 1.4138,                 1.1732,                 0.3986,                0.67345,                0.46257,                 0.3097,                 1.1404,                 1.4082,                  1.242,             0.00081541,             0.00081541,             0.00081541
                     54,                 1.0996,                 1.4745,                 1.2231,                0.44393,                0.62991,                0.47538,                0.33748,                0.94502,                 1.4452,                   1.21,             0.00081361,             0.00081361,             0.00081361
                     55,                 1.0987,                 1.4435,                  1.206,                0.43555,                0.69899,                0.52409,                0.36814,                  1.007,                 1.3478,                 1.2021,             0.00081181,             0.00081181,             0.00081181
                     56,                 1.0749,                 1.4458,                 1.2187,                0.46104,                0.66783,                0.53351,                0.38528,                0.95382,                  1.475,                 1.1748,             0.00081001,             0.00081001,             0.00081001
                     57,                 1.1087,                 1.4701,                 1.1922,                0.38989,                0.71627,                0.54286,                0.39585,                0.91153,                  1.449,                 1.1649,             0.00080821,             0.00080821,             0.00080821
                     58,                 1.0637,                 1.3778,                 1.1861,                 0.4757,                0.69541,                0.55179,                0.40121,                 0.9079,                 1.4034,                 1.1459,             0.00080641,             0.00080641,             0.00080641
                     59,                 1.0262,                 1.4309,                 1.1592,                  0.456,                0.74145,                0.57855,                0.42477,                0.90085,                 1.2754,                 1.1288,             0.00080461,             0.00080461,             0.00080461
                     60,                 1.0312,                  1.363,                 1.1571,                0.45521,                0.65809,                0.54054,                0.40113,                0.88634,                 1.2603,                 1.1124,             0.00080281,             0.00080281,             0.00080281
                     61,                 1.0408,                 1.3925,                  1.176,                0.41472,                0.66281,                0.54294,                0.39487,                0.91342,                 1.4564,                 1.1267,             0.00080101,             0.00080101,             0.00080101
                     62,                      1,                 1.4314,                 1.1679,                0.46984,                0.66082,                0.56597,                0.41082,                0.96107,                 1.3158,                 1.1463,             0.00079921,             0.00079921,             0.00079921
                     63,                 1.0148,                 1.3432,                  1.154,                0.47146,                0.65436,                0.55823,                0.40697,                0.91035,                 1.3183,                 1.1331,             0.00079741,             0.00079741,             0.00079741
                     64,                 1.0541,                 1.3356,                 1.1597,                0.50181,                0.71052,                0.63196,                0.44767,                 1.0005,                 1.2381,                  1.181,             0.00079561,             0.00079561,             0.00079561
                     65,                 1.0562,                 1.3668,                 1.1607,                0.50598,                0.69315,                0.62255,                0.45225,                0.92551,                 1.2616,                 1.1591,             0.00079381,             0.00079381,             0.00079381
